delivery_date,cv_fold,hour_index,forecast_cutoff_utc,interval_end_utc,forecast_method,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh,residual_erco_solar_generation_mwh,residual_erco_wind_generation_mwh,residual_erco_consumed_co2_intensity_lbs_per_kwh,complete_row,usable_24h_block
2024-09-13,fold_3,13,2024-09-12T23:00:00Z,2024-09-13T19:00:00Z,direct_ridge_90d_v1,20733.0,8955.0,0.5985235220993664,18000.244212645164,5951.955810061775,0.7216559932735411,2732.755787354836,3003.044189938225,-0.1231324711741747,True,True
2024-09-13,fold_3,14,2024-09-12T23:00:00Z,2024-09-13T20:00:00Z,direct_ridge_90d_v1,20269.0,8404.0,0.642454958600927,17808.680377614568,6541.201961482758,0.7266251948132785,2460.319622385432,1862.7980385172423,-0.08417023621235142,True,True
2024-09-13,fold_3,15,2024-09-12T23:00:00Z,2024-09-13T21:00:00Z,direct_ridge_90d_v1,19832.0,8478.0,0.6531974131128606,17311.218401082526,7110.696561318168,0.7340071081119963,2520.781598917474,1367.3034386818317,-0.0808096949991357,True,True
2024-09-13,fold_3,16,2024-09-12T23:00:00Z,2024-09-13T22:00:00Z,direct_ridge_90d_v1,19359.0,8544.0,0.6737326820986792,16264.188640422897,8032.027635677513,0.749635537601612,3094.811359577103,511.972364322487,-0.07590285550293274,True,True
2024-09-13,fold_3,17,2024-09-12T23:00:00Z,2024-09-13T23:00:00Z,direct_ridge_90d_v1,16631.0,9069.0,0.7250798989808288,14598.431803561838,8943.091052951611,0.7651580255116684,2032.568196438162,125.90894704838865,-0.04007812653083964,True,True
2024-09-13,fold_3,18,2024-09-12T23:00:00Z,2024-09-14T00:00:00Z,direct_ridge_90d_v1,8563.0,10139.0,0.8265239217695777,10185.94235637248,10256.926630478718,0.8151899522885968,-1622.9423563724795,-117.92663047871793,0.011333969480980866,True,True
2024-09-13,fold_3,19,2024-09-12T23:00:00Z,2024-09-14T01:00:00Z,direct_ridge_90d_v1,1029.0,11448.0,0.9079376559372212,1256.7090319580984,11106.313345422008,0.9104906275497231,-227.70903195809842,341.68665457799216,-0.0025529716125018975,True,True
2024-09-13,fold_3,20,2024-09-12T23:00:00Z,2024-09-14T02:00:00Z,direct_ridge_90d_v1,1.0,15973.0,0.8555202718112067,0.0,11461.472289443303,0.9377540253891105,1.0,4511.527710556697,-0.08223375357790375,True,True
2024-09-13,fold_3,21,2024-09-12T23:00:00Z,2024-09-14T03:00:00Z,direct_ridge_90d_v1,1.0,20122.0,0.7531906902565382,0.0,12820.832078878646,0.923736801179891,1.0,7301.167921121354,-0.1705461109233528,True,True
2024-09-13,fold_3,22,2024-09-12T23:00:00Z,2024-09-14T04:00:00Z,direct_ridge_90d_v1,1.0,22187.0,0.6880550136664126,0.0,14426.950143084036,0.8847904751630807,1.0,7760.0498569159645,-0.1967354614966681,True,True
2024-09-13,fold_3,23,2024-09-12T23:00:00Z,2024-09-14T05:00:00Z,direct_ridge_90d_v1,1.0,23057.0,0.6450411341657183,0.0,15147.496595516563,0.8527458936126983,1.0,7909.503404483437,-0.20770475944697997,True,True
2024-09-14,fold_3,0,2024-09-13T23:00:00Z,2024-09-14T06:00:00Z,direct_ridge_90d_v1,1.0,22892.0,0.619214720952525,0.0,12881.169549966362,0.8438762134481489,1.0,10010.830450033638,-0.22466149249562384,True,True
2024-09-14,fold_3,1,2024-09-13T23:00:00Z,2024-09-14T07:00:00Z,direct_ridge_90d_v1,1.0,21713.0,0.6249732045411853,0.0,12327.79697368768,0.8354781740198822,1.0,9385.20302631232,-0.2105049694786969,True,True
2024-09-14,fold_3,2,2024-09-13T23:00:00Z,2024-09-14T08:00:00Z,direct_ridge_90d_v1,1.0,20286.0,0.6386497351207164,0.0,11534.1591469737,0.8341202430187422,1.0,8751.8408530263,-0.19547050789802578,True,True
